path,line,col,context,suggested_prefix
tests/test_lang.ritz,7,12,"prints(""ritzlib.lang test\n"")",s
tests/test_lang.ritz,15,12,"prints(""Token kind: "")",s
tests/test_lang.ritz,17,12,"prints(""\n"")",s
tests/test_lang.ritz,21,12,"prints(""Lexer pos: "")",s
tests/test_lang.ritz,23,12,"prints(""\n"")",s
ritzlib/sys.ritz,35,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,38,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,47,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,50,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,53,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,56,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,59,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,62,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,65,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,68,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,71,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,74,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,77,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,80,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,83,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,87,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,90,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,94,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,97,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,100,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,104,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,107,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,110,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,117,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,121,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,125,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,129,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,133,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,137,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,141,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,149,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,156,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,167,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,174,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,180,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,187,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,198,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,207,15,"[[target_os = ""harland""]]",s
ritzlib/sys.ritz,217,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,219,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,221,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,223,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,225,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,227,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,229,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,231,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,233,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,235,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,237,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,239,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,241,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,243,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,245,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,247,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,249,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,251,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,253,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,255,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,257,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,259,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,261,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,263,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,265,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,267,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,269,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,271,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,273,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,275,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,277,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,279,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,281,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,283,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,285,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,287,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,289,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,291,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,293,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,295,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,297,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,299,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,301,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,303,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,305,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,307,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,309,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,311,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,313,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,315,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,317,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,319,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,321,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,323,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,325,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,327,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,329,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,331,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,333,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,335,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,337,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,339,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,341,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,387,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,389,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,391,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,393,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,395,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,397,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,399,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,401,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,403,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,405,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,407,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,414,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,416,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,418,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,420,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,422,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,424,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,426,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,428,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,431,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,433,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,435,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,438,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,440,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,442,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,444,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,447,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,449,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,451,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,453,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,456,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,458,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,460,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,462,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,471,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,497,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,501,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,505,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,514,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,526,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,528,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,530,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,532,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,534,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,536,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,538,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,540,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,549,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,552,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,554,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,575,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,579,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,583,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,587,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,591,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,599,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,603,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,607,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,611,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,615,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,619,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,623,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,627,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,631,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,639,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,643,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,647,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,651,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,655,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,663,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,667,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,671,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,675,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,679,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,687,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,691,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,695,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,700,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,702,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,704,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,706,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,710,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,712,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,714,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,716,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,728,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,732,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,736,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,740,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,744,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,748,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,752,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,756,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,760,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,764,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,772,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,776,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,780,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,788,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,790,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,792,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,794,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,796,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,798,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,800,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,802,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,804,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,806,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,808,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,810,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,812,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,814,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,816,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,818,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,820,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,822,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,824,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,828,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,830,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,834,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,836,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,850,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,853,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,858,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,900,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,905,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,910,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,921,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,923,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,927,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,929,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,933,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,935,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,937,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,941,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,950,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,959,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,977,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1001,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1031,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1033,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1035,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1037,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1044,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1051,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1056,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1066,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1073,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1075,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1077,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1079,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1081,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1089,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1103,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1112,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1117,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1119,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1121,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1123,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1125,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1139,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1155,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1157,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1159,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1161,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1163,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1165,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1167,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1171,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1173,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1175,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1177,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1179,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1181,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1183,15,"[[target_os = ""linux""]]",s
ritzlib/sys.ritz,1185,15,"[[target_os = ""linux""]]",s
